standard_name	group	panel_name
Steppe:Russia_Srubnaya_Alakul.SG:kzb001_noUDG.SG	Steppe	Steppe
Steppe:Russia_Srubnaya_Alakul.SG:kzb002.SG	Steppe	Steppe
Steppe:Russia_Srubnaya_Alakul.SG:kzb006_noUDG.SG	Steppe	Steppe
Steppe:Russia_Srubnaya_Alakul.SG:kzb007_noUDG.SG	Steppe	Steppe
Steppe:Russia_Srubnaya_Alakul.SG:kzb008_noUDG.SG	Steppe	Steppe
Steppe:Russia_Srubnaya_Alakul.SG:kzb009_noUDG.SG	Steppe	Steppe
Steppe:Russia_Srubnaya_Alakul.SG:mur003_noUDG.SG	Steppe	Steppe
Steppe:Russia_Srubnaya_Alakul.SG:mur004_noUDG.SG	Steppe	Steppe
Steppe:Russia_MLBA_Sintashta.SG:RISE386_noUDG.SG	Steppe	Steppe
Steppe:Russia_MLBA_Sintashta.SG:RISE392_noUDG.SG	Steppe	Steppe
Steppe:Russia_MLBA_Sintashta.SG:RISE394_noUDG.SG	Steppe	Steppe
Steppe:Russia_MLBA_Sintashta.SG:RISE395_noUDG.SG	Steppe	Steppe
Steppe:Srubnaya:I0232	Steppe	Steppe
Steppe:Srubnaya:I0234	Steppe	Steppe
Steppe:Srubnaya:I0235	Steppe	Steppe
Steppe:Srubnaya:I0358	Steppe	Steppe
Steppe:Srubnaya:I0359	Steppe	Steppe
Steppe:Srubnaya:I0361	Steppe	Steppe
Steppe:Srubnaya:I0422	Steppe	Steppe
Steppe:Srubnaya:I0423	Steppe	Steppe
Steppe:Srubnaya:I0424	Steppe	Steppe
Steppe:Srubnaya:I0430	Steppe	Steppe
Steppe:Srubnaya:I0431	Steppe	Steppe
Steppe:Alakul:I6789	Steppe	Steppe
Steppe:Alakul:I6790	Steppe	Steppe
Steppe:Alakul:I6791	Steppe	Steppe
Steppe:Alakul:I6793	Steppe	Steppe
Steppe:Alakul:I6794	Steppe	Steppe
Steppe:Alakul:I6796	Steppe	Steppe
Steppe:Alakul:I6797	Steppe	Steppe
Steppe:Alakul:I6788	Steppe	Steppe
Steppe:Alakul:I6800	Steppe	Steppe
Steppe:Alakul:I6799	Steppe	Steppe
Steppe:Sintashta:I0939	Steppe	Steppe
Steppe:Sintashta:I0942	Steppe	Steppe
Steppe:Sintashta:I0943	Steppe	Steppe
Steppe:Sintashta:I0984	Steppe	Steppe
Steppe:Sintashta:I0986	Steppe	Steppe
Steppe:Sintashta:I0989	Steppe	Steppe
