Population,Source,N,Gedrosia,Siberian,Northwest_African,Southeast_Asian,Atlantic_Med,North_European,South_Asian,East_African,Southwest_Asian,East_Asian,Caucasus,Sub_Saharan
Abhkasians_Y,Yunusbayev,14,17.2,0.9,0,0.6,0,11.1,0,0,0,0.2,70,0
Adygei,HGDP,16,17.2,2.4,0,0.3,1.9,20.2,0.2,0,0,1.3,56.6,0
Algerian_D,Dodecad,5,0.8,0,34.7,0,21.4,1.4,0.5,6,16,0,11.6,7.5
Altai,Rasmussen,11,9.4,41.3,0,0.3,2.5,11.2,0.4,0,0,33.1,1.8,0
Andalucia_1KG,1000Genomes,4,7.2,0,5.1,0,52.6,18.1,0,0.6,3.2,0.1,12.9,0.3
Aragon_1KG,1000Genomes,6,6.3,0.1,3.4,0,56.1,21.8,0.4,0,3,0,8.8,0
Argyll_1KG,1000Genomes,4,13.1,0,0,0,41.2,45.2,0,0,0,0,0.5,0
Armenian_D,Dodecad,32,16.8,0,0,0,10.3,3,0,0,14,0,55.8,0
Armenians,Behar,18,15.8,0,0,0,9.8,4.5,0.2,0,9.9,0,59.8,0
Armenians_15_Y,Yunusbayev,13,18,0,0,0,8.8,3.4,0.4,0,13.7,0,55.7,0
Ashkenazi_D,Dodecad,19,2.1,0.5,4.7,0,25.9,13,0.9,0.2,13.9,0.5,38.3,0
Ashkenazy_Jews,Behar,17,2.8,0.6,4.2,0,25.1,13.2,1.3,0.4,12.8,0.5,39,0
Assyrian_D,Dodecad,13,18.3,0,0,0,9.6,0.9,0.1,0,18.9,0,52.2,0
ASUR_Ch,Chaubey,2,6.1,0.3,0,17.5,0.4,0,75.7,0,0,0,0,0
ASW30,HapMap3,24,0.9,0.2,0.8,0,6.2,6,0.2,1.7,0,0,0.3,83.6
Azerbaijan_Jews,Behar,8,18.7,0.3,0.4,0.2,9.1,0.8,0.6,0,17.8,0,52.1,0
Baleares_1KG,1000Genomes,6,5.5,0,3.7,0,49.4,22.5,0.2,0,4.4,0,14.2,0.1
Balkars_Y,Yunusbayev,17,15.8,3.9,0,0.1,0.8,19.4,0.1,0,0,3.3,56.6,0
Balochi,HGDP,21,64.5,0.4,0.5,0.9,3.6,2.3,12.1,0,10.3,0,5.5,0
Bantu_N.E.,HGDP,9,0,0,0,0,0,0,0,22.6,0,0,0,77.4
Bantu_S.E._Pedi,HGDP,1,0,0,0,0,0,0,0,12.3,0,0,0,87.7
Bantu_S.E._S.Sotho,HGDP,1,0,0,0,0,0,0,0,10.2,0,0,0,89.8
Bantu_S.E._Tswana,HGDP,2,0,0,0,0,0,0,0,12.5,0,0,0,87.5
Bantu_S.E._Zulu,HGDP,1,0,0,0,0,0,0,0,10.6,0,0,0,89.4
Bantu_S.W._Herero,HGDP,2,0,0,0,0,0,0,0,8.8,0,0,0,91.2
Bantu_S.W._Ovambo,HGDP,1,0,0,0,0,0,0,0,6.4,0,0,0,93.6
Bedouin,HGDP,33,5,0,4.9,0,8.2,0.4,0,5.3,43.3,0,30.8,2.1
Belorussian,Behar,8,0,0.3,0,0,16.1,67.8,0.5,0,1.9,0,13.3,0
Bengali_M,Metspalu,1,31.9,1.7,0,5.4,0,5.4,53.7,0,0,0,1.9,0
Bhunjia_M,Metspalu,1,0,1.8,0,20,0,0,78.2,0,0,0,0,0
Bnei_Menashe_Jews,Behar,4,26.3,0,1.6,0,5.1,1.1,36.7,0,8.2,0.9,20,0.1
BONDA_Ch,Chaubey,4,0,0,0,33.3,0,0,66.7,0,0,0,0,0
Brahmins_from_Tamil_Nadu_M,Metspalu,2,38.5,0.8,0,0.6,1.5,4.6,48.7,0,0.9,0.9,3.4,0
Brahmins_from_Uttar_Pradesh_M,Metspalu,8,36.1,0.5,0,0,1.9,13.4,44.1,0,0,1,3,0
Brahmins_from_Uttaranchal_M,Metspalu,1,27.4,4,0,2.7,0,6,33.4,0,0,23,3.6,0
Brahui,HGDP,23,69.5,0,0.4,1.2,4.5,0.8,11.6,0.1,11.4,0,0.5,0
British_D,Dodecad,11,11.3,0,0,0,43.5,43.6,0,0,0.3,0,1.3,0
British_Isles_D,Dodecad,8,9.5,0,0,0,42.5,45.7,0.1,0,0,0,2.2,0
Bulgarian_D,Dodecad,7,3.3,0.3,0.5,0,23.7,34.8,0.5,0,6.4,0.4,30.1,0
Bulgarians_Y,Yunusbayev,10,1.5,0.9,0.3,0,25,34.9,0.3,0,5.7,0.6,30.7,0
Burmanese_Ch,Chaubey,13,4.2,4.5,0,37.2,0,0,18.7,0,0.1,35.3,0,0
Burusho,HGDP,22,43.2,3.1,0,0.1,0,11.9,24.8,0,0,8.2,8.7,0
Buryat,Rasmussen,11,3.3,49.1,0,0,1.5,2.9,0.5,0,0.4,40.9,1.5,0
C_Italian_D,Dodecad,13,4.8,0,2.3,0,34.8,17.1,0.1,0,8.7,0,32.1,0
Cambodians,HGDP,10,0,1.8,0,82.2,0,0.6,15.2,0,0,0.1,0.1,0
Canarias_1KG,1000Genomes,2,5,0.3,11.8,0.6,46.7,17.6,0.1,2.8,3.7,0,11.2,0.2
Cantabria_1KG,1000Genomes,6,5.7,0.1,3.1,0,54.8,23.5,0.3,0.3,3,0,8.9,0.3
Castilla_La_Mancha_1KG,1000Genomes,6,6.8,0.4,3.5,0,54.3,21.1,0,0.6,4.5,0,8.8,0
Castilla_Y_Leon_1KG,1000Genomes,12,5.4,0,6.1,0,51.2,22.3,0.4,0.6,4,0,10,0
Cataluna_1KG,1000Genomes,8,7.3,0,2.4,0,52.1,25.2,0.3,0,3.5,0,9.2,0
CDX30,1000Genomes,30,0,0,0,81.4,0,0,0,0,0,18.6,0,0
CEU30,1000Genomes,22,10.6,0,0,0,41.4,44.7,0,0,0,0,3.3,0
Chamar_M,Metspalu,10,24.8,0.2,0,0,0.4,1.7,71.2,0,0,1.7,0,0
