,West Asian,East Med,West Med,South Asian,Red Sea,Baltic,North Atlantic,Siberian,Amerindian,East Asian,Oceanian,Northeast African,Sub-Saharan
Abhkasian,54.31,22.78,9.81,1.91,1.84,4.62,1.64,1.11,0.17,1.48,0.33,0.01,0.01
Adygei,47.21,16.97,7.88,2.79,1.95,12.14,6.38,2.58,0.80,1.08,0.13,0.05,0.03
Afghan_Pashtun,40.20,7.01,0.26,25.38,0.97,10.18,8.26,3.82,1.30,1.49,0.47,0.07,0.59
Afghan_Tadjik,34.16,9.07,2.43,18.67,1.03,8.27,5.44,10.83,1.54,7.39,0.27,0.28,0.62
Afghan_Turkmen,22.29,7.92,3.08,8.31,0.41,12.65,7.16,24.77,1.32,10.56,0.69,0.23,0.63
Afghan_Hazara,23.61,5.37,0.59,13.56,0.96,7.11,7.36,20.94,2.12,17.57,0.35,0.12,0.31
Algerian,0.11,28.26,22.38,0.08,15.84,0.51,10.96,0.08,0.20,0.39,0.23,10.44,10.51
Altaian,8.32,0.14,0.55,2.94,0.23,9.58,4.25,48.62,3.21,21.39,0.51,0.01,0.25
Armenian,38.88,34.79,13.02,3.41,5.23,0.85,2.79,0.03,0.05,0.43,0.44,0.04,0.05
Ashkenazi,10.29,34.61,18.44,1.04,5.98,10.16,15.32,0.97,0.46,0.79,0.29,1.15,0.50
Assyrian,32.63,39.64,11.50,3.76,7.78,1.84,1.41,0.20,0.19,0.71,0.15,0.19,0.02
Austrian,7.79,10.88,13.31,1.11,1.13,30.75,33.84,0.60,0.12,0.05,0.23,0.12,0.07
Austroasiatic_Ho,0.00,0.00,0.01,69.42,0.00,0.00,0.00,0.18,0.08,24.77,4.28,0.68,0.58
Azeri_Jewish,33.85,37.36,9.38,4.37,8.42,0.93,3.97,0.16,0.36,0.46,0.18,0.29,0.25
Balkar,45.36,14.67,9.30,1.99,0.77,10.90,6.59,5.53,0.83,3.35,0.50,0.06,0.17
Balochi,53.44,5.02,0.24,29.58,3.15,3.55,2.96,0.17,0.63,0.00,0.04,0.32,0.90
Bangladeshi,18.87,0.54,0.93,58.20,0.25,4.43,2.38,2.54,0.76,8.99,1.71,0.02,0.40
Bantu_N.E.,0.15,0.57,0.06,0.08,0.90,0.12,0.05,0.07,0.46,0.43,0.08,25.46,71.57
Bantu_S.E.,0.14,0.06,0.02,0.16,0.09,0.05,0.06,0.19,0.06,0.20,0.20,14.77,84.01
Bantu_S.W.,0.07,0.10,0.08,0.08,0.13,0.06,0.07,0.22,0.07,0.07,0.33,13.01,85.69
Bedouin,14.43,38.16,11.06,1.85,21.40,1.19,1.25,0.69,0.27,0.25,0.21,6.33,2.91
Belorussian,3.87,4.98,7.59,0.97,1.44,49.40,29.37,1.32,0.18,0.18,0.38,0.20,0.13
Biaka_Pygmy,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.05,0.01,0.02,0.35,21.06,78.49
Brahmin_UP,23.86,0.12,0.41,55.38,0.07,8.07,7.52,0.74,1.88,0.65,0.85,0.23,0.23
Brahui,53.84,5.71,0.06,29.92,3.18,2.28,1.52,0.51,0.64,0.06,0.28,0.80,1.20
Bulgarian,11.91,20.12,17.91,0.11,1.95,24.06,21.75,0.43,0.57,0.52,0.41,0.11,0.16
Burusho,37.09,0.22,0.01,36.76,0.04,8.83,2.50,6.21,2.26,5.04,0.33,0.24,0.47
Buryat,5.10,1.22,1.11,0.74,0.73,3.04,0.47,58.82,1.44,26.85,0.26,0.21,0.01
Cambodian,0.33,0.16,0.49,14.67,0.40,1.82,0.08,0.84,0.30,76.89,3.19,0.49,0.33
Chamar,11.50,0.59,1.27,77.02,0.71,1.72,0.45,1.69,1.23,1.75,1.44,0.51,0.11
Chechen,46.45,13.11,4.48,3.47,1.36,15.25,10.14,1.73,1.32,1.34,1.05,0.18,0.12
Chenchu,12.87,1.46,1.51,71.15,0.37,0.34,0.75,1.84,0.81,6.32,1.92,0.32,0.35
Chukchi,0.05,0.00,0.00,1.28,0.00,3.65,0.02,60.79,24.71,8.84,0.65,0.00,0.00
Chuvash,8.74,1.29,2.02,2.28,0.85,43.07,14.88,20.08,2.77,2.66,0.44,0.55,0.36
Cyprian,20.34,41.08,19.86,0.50,8.12,2.81,5.67,0.23,0.00,0.07,0.47,0.30,0.54
Dai,0.16,0.01,0.03,4.19,0.01,1.07,0.03,1.69,0.55,90.45,1.41,0.10,0.28
Danish,4.88,3.32,11.29,1.93,0.49,24.89,51.25,0.42,0.58,0.42,0.15,0.30,0.06
Dharkar,19.67,0.57,1.94,65.78,0.03,4.01,1.85,1.80,0.84,1.74,0.82,0.72,0.23
Dolgan,0.78,0.14,0.63,1.92,0.06,7.84,1.57,75.34,1.38,9.23,0.43,0.59,0.11
Dusadh,17.44,0.98,1.23,71.66,0.98,0.80,0.22,0.45,0.67,3.04,1.65,0.25,0.63
Dutch,5.70,3.20,12.91,0.96,0.94,26.55,48.35,0.05,0.66,0.11,0.23,0.12,0.23
East_Finnish,1.63,0.22,4.49,1.48,0.82,49.54,30.71,8.59,0.71,0.70,0.69,0.05,0.37
East_Greenlander,0.11,0.00,0.00,2.00,0.01,3.27,0.02,44.32,42.38,7.51,0.30,0.01,0.07
Egyptian,7.86,39.57,11.72,0.09,18.84,0.09,3.00,0.30,0.10,0.14,0.23,11.83,6.24
