Albanian,0,0.77,4.43,1.57,0,4.39,0,0,9.72,0,5.81,10.42,2.71,1.72,2.82,8.76,0,21.16,0,5.26,0.29,2.97,4.95,1.96,0,0,0.05,0.01,0,0,0.32,0,0.08,0,2.44,7.05
Austrian_Burgenland,0,0.07,1.84,1.14,0,6.97,0,0,6.51,0,7.32,1.77,7.22,10.18,6.39,12.90,0,11.10,0,1.33,0,10.92,3.33,10.02,0,0,0,0,0,0,0.04,0,0.47,0,0.15,0.33
Austrian_Carinthia,0,0.01,3.07,2.60,0,9.12,0,0,6.95,0,15.33,1.20,9.62,8.05,3.82,8.35,0,10.69,0,0,0,7.51,1.33,10.78,0,0,0,0,0,0,0,0,0.23,0,0.85,0.51
Austrian_Lower Austria,0,0.06,1.62,0,0,3.51,0,0,6.19,0,10.09,0,3.43,9.74,5.78,9.87,0,16.49,0,0,0,11.10,0.09,17.57,0,0,0,0,0,0,2.08,0,0,0,0,2.39
Austrian_Salzburg-Upper_Austria,0.03,0.14,1.53,1.99,0,10.95,0,0,4.30,0,8.31,0.49,3.66,9.25,8.18,6.56,0,15.02,0,0.74,0,9.94,2.55,12.61,0.25,0,0,0,0,0.04,0,0,0.39,0,0.23,2.86
Austrian_Styria,0,0,0,2.53,0,8.02,0,0,7.99,0,15.48,4.04,5.47,6.81,4.60,11.42,0,10.64,0,0.40,0,7.20,0,10.90,0,0,0,0,0,0,0,0,1.45,0,0,3.09
Austrian_Tyrol,0,0.13,2.38,2.64,0,6.50,0,0,5.52,0,3.90,1.30,3.74,7.22,7.73,8.58,0,17.78,0,1.60,0.21,10.73,3.83,9.98,0,0,0,0,0,0,0,0,0.46,0,1.92,3.86
Basque,0,0,0,26.36,0,1.68,0,0,0.23,0,0.72,0.31,0.40,0.77,3.88,41.65,0,5.24,0,0,0,7.38,0,6.53,0,0.01,0,0,0,0,0,0,0.01,0,0.1,4.70
Belgian,0.02,0.14,0.35,2.12,0.00,7.26,0.01,0,2.99,0,5.42,0.66,3.63,8.72,6.87,12.82,0,13.25,0,0.08,0.08,13.23,1.72,17.18,0.05,0.06,0.03,0.03,0,0.09,0.38,0,0.19,0.01,0.47,1.98
Bosnian,0,0.71,2.31,1.51,0,7.21,0,0,7.58,0,16.68,4.44,9.69,6.12,3.49,7.36,0,12.54,0,1.30,0.18,3.50,3.93,6.83,0,0,0,0,0,0,0.16,0,0.90,0,0.80,2.03
Bulgarian,0.01,1.30,4.76,0.82,0,4.81,0,0,8.27,0,11.15,7.43,6.35,3.43,3.52,7.86,0,15.79,0,5.14,0.17,3.02,5.64,4.55,0.01,0.08,0,0,0.00,0.03,0.32,0,0.42,0,2.23,3.18
Cossack_Kuban,0,0,0,1.24,0,7.43,0,0,4.91,0,17.48,0,22.81,15.83,0.93,7.52,0,0.33,0,0.74,0,5.21,0,6.57,0,0.7,0,0,1.15,0,0,0.09,4.83,0,1.86,0.38
Cossack_Ukrainian,0,0,0,0,0,9.3,0,0,10.39,0,23.7,0,15.94,11.78,2.27,13.07,0,0,0,0,0,4.3,0.09,3.81,0,0,0,0,0,0.52,0,0,4.82,0,0,0
Croatian,0.02,0.28,1.19,1.74,0,8.25,0,0,8.27,0,15.97,3.30,9.45,7.21,4.08,8.26,0.00,10.67,0,0.54,0.16,6.13,3.46,7.17,0,0.01,0,0,0,0,0.06,0,0.99,0,0.76,1.75
Czech,0.05,0.02,0.87,2.06,0,9.06,0,0,6.25,0,16.81,0.40,10.49,10.76,5.12,6.75,0.00,6.11,0.00,0.59,0.14,8.20,1.97,11.48,0.01,0.02,0.03,0,0.00,0.11,0.19,0,0.76,0,0.43,1.19
Czech_Bohemia,0,0.13,1.91,1.61,0,9.64,0,0,5.04,0,18.48,0.13,10.27,10.61,4.28,6.17,0,7.76,0,0,0,7.73,2.28,10.54,0,0,0,0,0,0,0.52,0,1.28,0,0.51,1.11
Danish,0.01,0,0.04,2.31,0,8,0,0,2.14,0,6.98,0,6.11,13.41,6.66,10.8,0,5.68,0,0,0.00,15.51,0.72,20.85,0,0.01,0,0.00,0,0.01,0.09,0,0.39,0,0.04,0.17
Dutch,0.03,0,0.03,1.82,0,8.32,0,0,2.34,0,6.57,0.03,3.4,11.39,7.89,10.96,0,7.90,0,0,0.00,16.46,1.00,20.02,0,0.02,0,0,0,0.00,0.22,0,0.70,0,0.29,0.53
Dutch_Central,0.08,0,0.02,1.77,0,8.92,0,0,2.36,0,6.43,0.08,3.04,11.07,7.59,10.68,0,8.98,0,0,0,16.03,0.75,19.81,0,0.00,0,0,0,0.01,0.23,0,1.01,0,0.26,0.68
Dutch_North,0.01,0,0,1.74,0,7.56,0,0,2.79,0,6.67,0,2.89,12.61,7.74,8.66,0,5.82,0,0,0,18.95,0.30,22.86,0,0.06,0,0,0,0,0.32,0,0.31,0,0.33,0.31
Dutch_South,0,0,0,1.7,0,8.60,0,0,3.12,0,7.86,0,2.25,10.72,7.46,12.89,0,9.17,0,0,0,15.11,1.81,17.93,0,0,0,0,0,0,0.22,0,0.51,0,0.27,0.64
Cornish,0.13,0,0,2.25,0,6.83,0,0,1.59,0,5.49,0,4.63,7.82,7.42,14.7,0,8.68,0,0,0.01,20.39,0.94,17.40,0,0.01,0,0,0,0.04,0.21,0,0.34,0,0.16,0.88
English_East,0.07,0,0.16,2.33,0.02,7.14,0,0,2.33,0,5.81,0.14,4.39,9.32,6.83,13.77,0,8.62,0,0.03,0,14.70,1.53,20.26,0,0.00,0.01,0.01,0,0.20,0.17,0,0.24,0,0.50,1.30
English_East-Midlands,0.01,0,0.05,2.25,0,7.80,0,0,2.51,0,5.79,0.03,4.11,8.88,6.38,13.22,0,9.62,0,0.00,0.01,15.89,1.31,20.17,0,0.03,0,0.01,0,0,0.25,0,0.52,0,0.13,0.91
English_Lancashire,0.09,0,0.02,2.52,0,7.89,0,0,1.72,0,6.03,0,3.63,9.83,7.37,14.07,0,7.99,0,0,0.00,16.52,1.08,19.89,0,0.00,0.00,0.02,0,0.03,0.20,0,0.23,0.00,0.03,0.70
English_Northeast,0.07,0.00,0.16,1.85,0,7.29,0,0,2.01,0,6.52,0,4.21,8.67,7.95,13.23,0,8.31,0,0,0,18.23,1.09,18.73,0,0.01,0,0,0,0.03,0.28,0,0.68,0,0.09,0.52
English_Southeast,0.05,0.00,0.17,2.19,0.00,6.57,0,0,1.96,0,6.14,0.07,3.61,9.84,7.27,13.63,0,8.99,0,0.01,0.02,15.97,1.65,19.92,0,0.04,0.01,0.00,0,0.03,0.39,0,0.31,0,0.23,0.76
English_Southwest,0.07,0.00,0.09,2.40,0,6.38,0,0,2.17,0,5.22,0,3.64,8.93,6.76,15.81,0.00,7.72,0,0,0.02,17.64,1.24,19.50,0,0.03,0,0,0,0.15,0.48,0,0.54,0,0.11,0.98
English_Yorkshire,0.08,0,0.05,2.64,0,6.96,0,0,1.46,0,6.20,0.02,3.81,10.15,6.87,12.91,0,8.22,0,0,0.03,17.29,1.11,20.69,0,0.02,0,0.01,0,0.02,0.39,0,0.24,0,0.26,0.42
English_West-Midlands,0.02,0,0.15,2.63,0.00,7.00,0.00,0,2.05,0,5.50,0.00,4.41,9.26,7.80,13.28,0,8.84,0,0,0.05,16.10,1.42,19.88,0,0.02,0.00,0.00,0,0.00,0.23,0,0.41,0,0.25,0.60
Estonian,0.08,0,0,0.45,0.02,6.50,0,0,3.02,0,23.14,0,15.16,33.95,4.25,0.41,0,0.18,0.05,0,0.01,3.42,0.02,6.72,0,0.01,0.15,0,0,0.04,0.37,0,2.22,0.01,0,0
Finnish,0.24,0,0.06,1.29,0.01,1.43,0,0.00,0.81,0.21,6.77,0,8.21,67.15,1.46,0.62,0.10,0.01,0.00,0,0.01,2.89,0.83,4.9,0,0.20,0.00,0,0.65,0.18,0.03,0.00,1.49,0.08,0.10,0.12
Flemish,0.02,0.06,0.21,1.85,0.01,7.43,0,0,2.09,0,6.11,0.27,3.18,9.62,6.52,13.43,0,13.07,0,0.00,0.12,13.43,1.89,17.53,0,0.04,0.01,0.04,0,0.11,0.47,0,0.19,0,0.33,1.86
French,0.03,0.07,0.68,3.58,0,5.64,0,0,2.99,0,5.16,0.82,2.73,6.98,7.58,17.57,0.01,13.51,0.00,0.25,0.28,12.16,1.40,13.81,0.00,0.05,0,0,0,0.07,0.08,0,0.35,0.00,0.51,3.54
French_Brittany,0.07,0,0.21,3.43,0,7.06,0,0,2.27,0,4.80,0,4.75,5.53,9.16,18.14,0,9.21,0,0,0.00,16.21,1.69,15.64,0,0,0,0,0,0.03,0.11,0,0.47,0,0.05,1.03
French_Northeast,0.07,0.07,0.21,2.89,0,5.67,0,0,2.61,0,6.37,0.43,2.31,7.69,6.80,17.24,0,13.96,0,0.10,0.04,11.07,3.81,15.73,0,0.11,0,0.02,0,0,0.08,0,0.04,0.01,0.54,2.01
French_Rhone-Alpes,0,0,2.45,2.63,0,5.4,0,0,4.70,0,4.75,2.37,2.08,4.09,6.46,18.38,0,13.08,0,0.88,0,11.68,0.08,13.59,0,0,0,0,0,0,0.42,0,0,0,0.11,6.77
French_South,0.30,0,0.78,6.31,0,5.39,0,0,2.28,0,4.18,2.94,3.56,2.25,6.28,21.63,0.17,17.44,0,0.18,0.38,10.42,0.92,9.69,0,0,0.04,0,0,0,0.10,0,0.25,0,0,4.43
German_Baden-Württemberg,0.07,0.21,1.77,1.72,0,6.04,0,0,3.07,0,5.52,1.10,4.97,8.22,6.31,11.95,0,16.81,0.02,0.42,0.14,11.86,2.75,13.34,0,0.02,0,0,0,0.07,0.08,0,0.38,0,1.05,2.08
German_Bavaria_Lower/Middle_Franconia,0,0.12,0,0.73,0,6.70,0,0,3.42,0,7.25,4.30,6.51,4.41,9.18,14.34,0,8.01,0,0,0,12.73,3.74,17.00,0,0,0,0,0,0,0,0,0.71,0,0,0.89
German_Bavaria_Oberpfalz,0,0,0.56,1.90,0,8.37,0,0,2.14,0,8.36,0.97,6.70,9.71,4.14,11.29,0,13.08,0,0.92,0,11.97,3.02,13.79,0,0,0,0,0,0.03,0,0,0.36,0,1.13,1.56
German_Bavaria_proper,0,0.25,1.02,1.34,0,7.93,0,0,2.32,0,5.98,1.15,6.06,7.34,6.37,15.61,0,14.02,0,1.04,0.02,9.99,1.61,13.99,0,0,0,0,0,0,0,0,0.42,0,2.02,1.52
German_Bavarian_Swabia,0,0,1.56,1.59,0,10.12,0,0,2.38,0,10.47,5.15,5.14,8.41,5.66,14.15,0,11.05,0,0,0,5.81,2.84,12.87,0,0,0,0,0,0,0,0,0,0,0,2.81
German_Brandenburg_Northwest,0,0,0,2.32,0.09,5.99,0,0,5.51,0,13.18,0.03,7.88,13.78,7.07,7.12,0,4.99,0,0,0.10,9.56,0.80,19.43,0,0.09,0,0,0,0.03,1.27,0,0,0,0,0.77
