Population,Source,N,South_Asian,West_Asian,Siberian,African,Southern,Atlantic_Baltic,East_Asian
Abhkasians_Y,Yunusbayev,14,0,61.3,0.4,0,24.6,12.4,1.3
Adygei,HGDP,16,0.3,52.5,3.3,0,18.7,23.4,1.7
Algerian_D,Dodecad,5,2,6,0,18.6,50.7,22.7,0
Altai,Rasmussen,11,2.2,10.9,51.5,0,0,13.5,22
Andalucia_1KG,1000Genomes,4,0,7.5,0,1.3,30.7,60.5,0
Aragon_1KG,1000Genomes,6,0.3,4.7,0,0.3,30,64.7,0
Argyll_1KG,1000Genomes,4,0.8,10.8,0.4,0,10.2,77.8,0
Armenian_D,Dodecad,32,0.4,51.7,0,0,37.1,10.8,0
Armenians,Behar,18,0,53.4,0,0,35.2,11.3,0
Armenians_15_Y,Yunusbayev,13,1,53.2,0,0,35.4,10.1,0.3
Ashkenazi_D,Dodecad,19,0,25,0.5,1,39,33.4,1.2
Ashkenazy_Jews,Behar,17,0,25.5,0.7,0.9,38.6,33.3,0.9
Assyrian_D,Dodecad,13,1.4,50.7,0,0,39.5,8.3,0.2
ASUR_Ch,Chaubey,2,76.8,4.4,0,0,0.6,0,18.2
ASW30,HapMap3,24,0.1,1.6,0.1,85.1,0.8,12,0.3
Azerbaijan_Jews,Behar,8,1.8,51,0.2,0.4,38,8.1,0.6
Baleares_1KG,1000Genomes,6,0.1,8.8,0,0.8,29.8,60.6,0
Balkars_Y,Yunusbayev,17,0,51.4,5,0,18.3,22,3.2
Balochi,HGDP,21,24.3,61.3,0.3,1.2,8.5,4.6,0
Bantu_N.E.,HGDP,9,0.1,0,0.2,97,2.6,0,0
Bantu_S.E._Pedi,HGDP,1,0,0,0,100,0,0,0
Bantu_S.E._S.Sotho,HGDP,1,0,0,0,100,0,0,0
Bantu_S.E._Tswana,HGDP,2,0,0,0.1,99.5,0,0.2,0.2
Bantu_S.E._Zulu,HGDP,1,0,0,0.3,99.7,0,0,0
Bantu_S.W._Herero,HGDP,2,0,0.2,0,99.6,0,0,0.2
Bantu_S.W._Ovambo,HGDP,1,0,0,0,100,0,0,0
Bedouin,HGDP,33,1.4,29.9,0.8,7.9,54.5,5.6,0
Belorussian,Behar,8,0.3,11.7,2,0,5.2,80.6,0.4
Bengali_M,Metspalu,1,59.7,29.7,1.9,0,0,3.4,5.2
Bhunjia_M,Metspalu,1,77.2,0,0.6,0,0.6,0,21.6
Bnei_Menashe_Jews,Behar,4,41.3,36,0.8,0.8,16.8,4.1,0.2
BONDA_Ch,Chaubey,4,66.4,0,0,0,0,0,33.6
Brahmins_from_Tamil_Nadu_M,Metspalu,2,55.9,36,2,0,0.7,5,0.4
Brahmins_from_Uttar_Pradesh_M,Metspalu,8,50.4,34.1,1.7,0,0,13.4,0.3
Brahmins_from_Uttaranchal_M,Metspalu,1,37.8,28,11,0,0,4,19.2
Brahui,HGDP,23,24.5,62.1,0.2,0.9,8.9,3.3,0
British_D,Dodecad,11,1,9.2,0.3,0,11.9,77.6,0
British_Isles_D,Dodecad,8,1.1,9.2,0.1,0,11.8,77.8,0
Bulgarian_D,Dodecad,7,0,22.4,1,0,22.7,53.3,0.6
Bulgarians_Y,Yunusbayev,10,0,21.5,1.1,0,22.7,54.3,0.4
Burmanese_Ch,Chaubey,13,19.7,3.3,11.7,0,0.1,0.5,64.8
Burusho,HGDP,22,32.5,45,6.2,0,0.1,10.7,5.4
Buryat,Rasmussen,11,0.9,5.3,61.4,0,0.9,4.8,26.8
C_Italian_D,Dodecad,13,0,22.4,0,0.2,34.7,42.7,0
Cambodians,HGDP,10,17.1,0.1,0,0,0.5,1.9,80.4
Canarias_1KG,1000Genomes,2,0.1,5.9,0.1,4.2,33.5,55.5,0.6
Cantabria_1KG,1000Genomes,6,0.1,4.7,0,0.7,28.7,65.8,0
Castilla_La_Mancha_1KG,1000Genomes,6,0.2,6,0.1,0.9,29.9,62.8,0.1
Castilla_Y_Leon_1KG,1000Genomes,12,0.7,5.6,0,1.3,30.3,61.8,0.2
Cataluna_1KG,1000Genomes,8,0.7,6.9,0,0.2,27,65.2,0
CDX30,1000Genomes,30,2.8,0,0,0,0,0,97.2
CEU30,1000Genomes,22,0.9,10.7,0,0,12.4,76.1,0
Chamar_M,Metspalu,10,75.6,20.1,1.6,0,0,1.4,1.3
CHB30,Metspalu,20,0,0,16.8,0,0,0,83.2
CHD30,Metspalu,23,0,0,11.6,0,0,0,88.4
Chechens_Y,Yunusbayev,14,0.9,54.6,2.9,0,16,24.3,1.2
Chenchus_M,Metspalu,4,71.7,21.4,2,0,0.6,0.1,4.1
Chinese_D,Dodecad,8,0,0,16.4,0,0,0,83.6
CHS30,SGVP,27,0,0,8.7,0,0,0,91.3
Chuvashs,Behar,15,1.6,15.1,22.7,0,0.9,58,1.8
Cochin_Jews,Behar,4,52,34.1,0.5,0,7.7,3.4,2.3
Cornwall_1KG,1000Genomes,28,0.8,10.2,0.1,0,13.4,75.6,0
Cypriots,Behar,11,0,36.5,0,0.4,43.7,19.4,0
Dai,HGDP,8,3.3,0,0,0,0,0,96.7
Daur,HGDP,9,0,1.4,47.7,0,0.4,0,50.6
Dharkars_M,Metspalu,10,62.5,29.7,1.8,0,0,5.1,1
Dhurwa_M,Metspalu,1,77.3,0,0,0,0.1,0,22.6
Dolgan,Rasmussen,6,0.9,2,77.8,0,0.8,12.1,6.3
Druze,HGDP,32,0.5,41,0,2.1,45.8,10.3,0.3
Dusadh_M,Metspalu,6,68.8,25.8,0.2,0,0,2,3.1
Dutch_D,Dodecad,8,0.7,12,0.1,0,11.4,75.8,0
Egyptans,Behar,12,0.9,24.4,0.2,16.9,51.4,6,0.3
English_D,Dodecad,10,0.6,9.7,0,0,13.1,76.6,0
Ethiopian_Jews,Behar,11,3.2,3.2,1.1,44.7,47.8,0,0
Ethiopians,Behar,17,3.4,4.6,1.1,43,47.8,0,0
Evenk,Rasmussen,12,0,2,86.5,0,0.1,2.8,8.6
Extremadura_1KG,1000Genomes,8,0.6,7.5,0,1.9,29.2,60.7,0
FIN30,1000Genomes,24,1.5,6.9,8.9,0,0.1,82.7,0
Finnish_D,Dodecad,14,1.3,6.8,8.8,0,0,83.1,0
French,HGDP,27,0,10.4,0,0,19.9,69.7,0
French_Basque,HGDP,21,0,0,0,0,26.8,73.2,0
French_D,Dodecad,13,0.3,9.7,0,0,20.2,69.8,0
Gadaba_Ch,Chaubey,1,68.9,0,0,0,0,0,31.1
Galicia_1KG,1000Genomes,8,0.6,7.1,0,1.6,29.9,60.8,0
Garo_Ch,Chaubey,4,20.7,0,12.8,0,0.3,0,66.2
Georgia_Jews,Behar,4,0,51.4,0,0,38.5,9.2,0.8
Georgians,Behar,16,0,62.2,0,0,26.9,10.6,0.3
German_D,Dodecad,18,0.1,11.9,0.4,0,12.5,75.1,0
GIH30,Dodecad,25,61.7,35.6,1,0,0,1.7,0
Gond_M,Metspalu,4,74.3,12.5,0.7,0,0.3,1.5,10.8
Greek_D,Dodecad,15,0,24.8,0.1,0,33.9,41.2,0
Hakkipikki_M,Metspalu,4,77.4,18,0.8,0,1.2,0,2.6
Han,HGDP,29,0,0,11.7,0,0,0,88.3
Hazara,HGDP,16,10,25.9,26,0,4.6,11.2,22.2
Hezhen,HGDP,7,0,0,43.2,0,0,0,56.8
Ho_Ch,Chaubey,5,74.1,0,0,0,0,0,25.9
Hungarians,Behar,19,0.1,14.5,1.5,0,14.7,69.2,0.1
Indian_D,Dodecad,25,56.4,36.5,1.5,0,0.3,4.4,0.8
INS30,SGVP,22,62.1,32.6,1.3,0,0.5,2.6,1
Iranian_D,Dodecad,8,6.9,53,2.1,0.5,26.1,10.7,0.7
Iranian_Jews,Behar,4,2,51.4,0.3,0.4,41.4,3.9,0.6
Iranians,Behar,19,7.9,52.3,1.2,1.6,28,8.6,0.4
Iraq_Jews,Behar,10,1.3,49.6,0,0.4,43.8,4.8,0
Irish_D,Dodecad,14,0.8,9.8,0.2,0,11.3,77.9,0
Iyengar_D,Dodecad,5,57.3,35.3,1.4,0,0.5,5.5,0
Iyer_D,Dodecad,6,57.7,34.5,0.6,0,0.8,5.8,0.6
Japanese,HGDP,24,0,0,27.9,0,0,0,72.1
Japanese_D,Dodecad,5,0,0,28.9,0,0,0,71.1
Jatt_D,Dodecad,5,38,43.4,1.3,0,0,17.2,0
Jordanians,Behar,20,1.3,35.7,0.2,6.7,47,8.4,0.6
JPT30,Behar,28,0,0,27.5,0,0,0,72.5
Juang_Ch,Chaubey,2,66.7,0,0,0,0,0,33.3
Kanjars_M,Metspalu,7,63.5,28.9,1,0,0,5.8,0.7
Kent_1KG,1000Genomes,36,0.5,10.1,0.2,0,13,76.3,0
Ket,Rasmussen,2,2.2,6.3,67.2,0,0,23.3,1.1
Kharia_Ch,Chaubey,2,72.1,0,0,0,0,0.3,27.6
Khasi_Ch,Chaubey,3,33.1,4.9,7,0,0,2.7,52.3
KHV30,1000Genomes,22,4.6,0,1.1,0,0,0,94.2
Kol_M,Metspalu,15,70.6,24.2,1,0,0,2.6,1.6
Korean_D,Dodecad,6,0,0,25.7,0,0,0,74.3
Kshatriya_M,Metspalu,7,54.1,34.8,1.7,0,0,9.4,0
Kumyks_Y,Yunusbayev,13,1.5,50.1,4.9,0,17.8,22.8,2.8
Kurd_D,Dodecad,9,4.9,53.8,1.4,0.5,28.5,10.2,0.8
Kurds_Y,Yunusbayev,6,4.5,54,0.6,0.2,28.8,11.3,0.5
Kurmi_M,Metspalu,1,62.6,31.9,0,0,0,3.1,2.5
Kurumba_M,Metspalu,4,69.2,28.6,1.3,0,0.1,0,0.9
Lahu,HGDP,7,5.4,0,4.4,0,0,0,90.2
Lambadi_M,Metspalu,1,60.4,30.9,0.2,0,0.6,4,3.8
Lebanese,Behar,7,1,38.7,0,3.4,44,12.2,0.8
Lezgins,Behar,16,2.1,56.7,2.1,0,13.9,24.9,0.3
Lithuanian_D,Dodecad,9,1,11.4,1.7,0,2.1,83.8,0
Lithuanians,Behar,9,0.3,10.4,1.3,0,0.4,87.6,0
LWK30,Behar,22,0.2,0,0.1,96.1,3.5,0,0
Makrani,HGDP,22,21.4,60.7,0,4.7,11.2,2,0
MALAYAN,Behar,2,81.7,7.6,2.3,0.1,1,0.7,6.6
Mandenka,HGDP,18,0,0,0,99.2,0.6,0.2,0
MAS30,SGVP,24,15.3,0.8,0,0,0.2,1.6,82.1
Mawasi_Ch,Chaubey,1,74.1,1.2,0,0,0.8,1.1,22.9
Meena_M,Metspalu,1,51.9,38.8,1.2,0,0,8.1,0
Meghawal_M,Metspalu,1,62.3,32.3,1.7,0,0.8,3,0
Miaozu,HGDP,8,0,0,9.8,0,0,0,90.2
Mixed_Germanic_D,Dodecad,7,0.6,11.4,0,0,13.3,74.8,0
Mixed_Slav_D,Dodecad,12,0.4,13.6,2.8,0,6.9,75.5,0.7
MKK30,Dodecad,23,2.4,0,0.5,74.8,22.4,0,0
Mongol,Rasmussen,8,0.8,7.7,49.9,0,1.6,8.5,31.4
Mongola,HGDP,10,0,2.5,33.7,0,0.7,1.8,61.2
Mordovians_Y,Yunusbayev,13,1.1,15.2,7.9,0,2.1,73.1,0.6
Moroccan_D,Dodecad,5,1.6,0,0,16.8,54,27.6,0
Moroccans,Behar,10,1.5,0.8,0.3,22.6,56.1,18.7,0
Morocco_Jews,Behar,15,0.1,24.6,0,3.3,45.4,26.6,0
Mozabite,HGDP,28,2.1,0,0.4,21.6,57.3,18.6,0
Murcia_1KG,1000Genomes,8,0,7.3,0,1.6,31.3,59.3,0.4
Muslim_M,Metspalu,5,60.9,29.4,1.9,0,0,6,1.7
N_Italian_D,Dodecad,5,0,15.8,0,0,28.2,56,0
Naga_M,Metspalu,4,2.6,0,25.7,0,0,0,71.6
Naxi,HGDP,7,2.4,0,21.5,0,0,0,76
Nganassan,Rasmussen,10,0,0,97.9,0,0,2.1,0
Nihali_M,Metspalu,2,77.3,7.4,1.7,0,1.3,1.1,11.3
Nogais_Y,Yunusbayev,14,0.7,36.7,14.8,0,13.1,25.3,9.3
North_Italian,HGDP,11,0,14.1,0,0,30.2,55.7,0
North_Kannadi,Behar,7,78.6,17.6,1.8,0,0,0.1,2
North_Ossetians_Y,Yunusbayev,12,0,53,5,0,17.7,21.3,3
Norwegian_D,Dodecad,10,0.3,8.5,1.8,0,8.6,80.8,0
O_Italian_D,Dodecad,5,0,19.9,0,0.9,29.6,49.6,0
Orcadian,HGDP,13,1.1,9.7,0.1,0,10.9,78.3,0
Orkney_1KG,1000Genomes,21,0.7,9.5,0.4,0,10.5,78.8,0
Oroqen,HGDP,8,0,0,59.4,0,0,0,40.6
Pais_Vasco_1KG,1000Genomes,7,0.2,0.4,0,0,26.5,73,0
Palestinian,HGDP,31,1.1,34.6,0.2,7.1,48.5,8.3,0.2
PANIYA,Behar,4,24.6,0,0.6,2,0.1,1.5,71.1
Pathan,HGDP,22,31.6,48.4,2.8,0,3.9,13.2,0
Piramalai_Kallars_M,Metspalu,8,71.1,27.2,0.5,0,0.1,0,1.1
