standard_name	group	panel_name
Anatolia_BA:Turkey_EBA:Turkey_EBA_II.SG:MA2210_noUDG.SG	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:Turkey_EBA_II.SG:MA2212_noUDG.SG	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:Turkey_EBA_II.SG:MA2213_noUDG.SG	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:ART001	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:ART009	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:ART010	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:ART011	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I14649_in.preparation	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I14792	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I14794	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I14797	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I14798	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I2495	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I2499	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I2683	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I4481	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I4614	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I4615	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I4619	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I5733	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I5735	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I5740	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I5741	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I5742	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I5743	Anatolia_BA	4-way
Anatolia_BA:Turkey_EBA:I5744	Anatolia_BA	4-way
Anatolia_BA:Turkey_MLBA:ALA001_d	Anatolia_BA	4-way
Anatolia_BA:Turkey_MLBA:ALA002	Anatolia_BA	4-way
Anatolia_BA:Turkey_MLBA:ALA004	Anatolia_BA	4-way
Anatolia_BA:Turkey_MLBA:ALA008	Anatolia_BA	4-way
